superficie,fecha,lat,lng,idprovincia,idmunicipio,causa,muertos,heridos,time_ctrl,time_ext,personal,medios,gastos,ALTITUD,TMEDIA,PRECIPITACION,TMIN,TMAX,VELMEDIA,RACHA,SOL,Trimestre,Mes,Año,DIR_VIENTO,PRES_RANGE
1.4,20010417,43.30714,-8.463079,A Coruña,ARTEIXO,4,0,0,2.05,2.05,16,2,-1,1,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
1.4,20010417,42.773828,-8.900901,A Coruña,NOIA,1,0,0,3.45,3.45,7,0,-1,1,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
1.5,20010417,43.244306,-8.079977,A Coruña,ARANGA,2,0,0,2.05,2.05,9,1,-1,1,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
5.0,20010417,42.826981,-8.687411,A Coruña,BRIÃâN,2,0,0,3.25,3.25,16,2,-1,1,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
1.0,20010418,42.908835,-8.589152,A Coruña,SANTIAGO DE COMPOSTELA,2,0,0,2.14,2.14,11,2,-1,1,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
1.3,20010418,43.057849,-8.094067,A Coruña,VILASANTAR,2,0,0,1.5,1.5,5,1,-1,1,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
1.2,20010418,42.788957,-8.519923,A Coruña,TEO,2,0,0,1.0,1.0,8,1,-1,1,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
6.0,20010418,42.803509,-8.409987,A Coruña,BOQUEIXÃâN-CASANOVA,2,0,0,2.45,2.45,9,2,-1,1,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
2.0,20010418,42.720584,-8.88716,A Coruña,BOIRO,2,0,0,2.45,2.45,6,1,-1,1,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
1.0,20010418,43.371826,-8.025395,A Coruña,MONFERO,2,0,0,1.3,1.3,6,1,-1,1,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
1.0,20010418,43.371826,-8.025395,A Coruña,MONFERO,2,0,0,3.35,3.35,11,2,-1,1,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
3.0,20010419,42.803773,-8.381428,A Coruña,BOQUEIXÃâN-CASANOVA,1,0,0,1.55,1.55,15,0,-1,1,10.8,1,9.3,12.4,4-6 m/s,12.5,6.4,Q2,abril,2001,SW,2.29999999999995
1.0,20010419,42.673902,-8.91086,A Coruña,BOIRO,2,0,0,2.2,2.2,6,1,-1,1,10.8,1,9.3,12.4,4-6 m/s,12.5,6.4,Q2,abril,2001,SW,2.29999999999995
1.2,20010420,42.851086,-8.866091,A Coruña,OUTES,2,0,0,1.4,1.4,16,2,-1,1,10.2,1,7.8,12.6,2-4 m/s,13.1,8.4,Q2,abril,2001,N,5.29999999999995
8.0,20010420,43.363698,-8.292697,A Coruña,SADA,2,0,0,2.45,2.45,14,3,-1,1,10.2,1,7.8,12.6,2-4 m/s,13.1,8.4,Q2,abril,2001,N,5.29999999999995
5.0,20010420,42.854833,-8.567981,A Coruña,SANTIAGO DE COMPOSTELA,2,0,0,1.5,1.5,28,4,-1,1,10.2,1,7.8,12.6,2-4 m/s,13.1,8.4,Q2,abril,2001,N,5.29999999999995
1.4,20010421,42.903258,-8.81752,A Coruña,NEGREIRA,2,0,0,2.2,2.2,5,1,-1,1,10.9,1,7.8,14.0,< 2 m/s,10.0,3.1,Q2,abril,2001,N,5.5
3.5,20010508,42.765558,-8.647949,A Coruña,PADRÃâN,2,0,0,2.3,2.3,12,2,-1,1,13.7,0,10.0,17.4,4-6 m/s,13.6,11.8,Q2,mayo,2001,NE,6.20000000000005
1.9,20010508,43.026913,-8.741116,A Coruña,SANTA COMBA,2,0,0,1.5,1.5,6,1,-1,1,13.7,0,10.0,17.4,4-6 m/s,13.6,11.8,Q2,mayo,2001,NE,6.20000000000005
1.0,20010509,43.063218,-9.235604,A Coruña,MUXÃÂA,2,0,0,1.1,1.1,9,1,-1,1,14.6,0,11.2,18.0,2-4 m/s,8.9,8.5,Q2,mayo,2001,N,5.79999999999995
1.0,20010511,43.04568,-9.033727,A Coruña,VIMIANZO,2,0,0,1.4,1.4,12,1,-1,1,16.3,0,11.6,21.0,< 2 m/s,7.8,12.5,Q2,mayo,2001,N,2.10000000000002
1.5,20010511,43.227333,-8.850752,A Coruña,CABANA DE BERGANTIÃâOS,1,0,0,2.45,2.45,13,1,-1,1,16.3,0,11.6,21.0,< 2 m/s,7.8,12.5,Q2,mayo,2001,N,2.10000000000002
1.5,20010511,42.96218,-9.253058,A Coruña,FISTERRA,2,0,0,2.0,2.0,28,2,-1,1,16.3,0,11.6,21.0,< 2 m/s,7.8,12.5,Q2,mayo,2001,N,2.10000000000002
1.1,20010511,43.109135,-8.922754,A Coruña,ZAS,2,0,0,3.5,3.5,6,1,-1,1,16.3,0,11.6,21.0,< 2 m/s,7.8,12.5,Q2,mayo,2001,N,2.10000000000002
1.0,20010518,43.289192,-8.189155,A Coruña,PADERNE,2,0,0,0.45,0.45,7,0,-1,1,14.9,0,10.8,19.0,6-8 m/s,12.8,13.0,Q2,mayo,2001,NE,2.29999999999995
1.5,20010518,43.506013,-8.11102,A Coruña,NEDA,1,0,0,2.35,2.35,14,2,-1,1,14.9,0,10.8,19.0,6-8 m/s,12.8,13.0,Q2,mayo,2001,NE,2.29999999999995
3.0,20010518,42.802734,-8.589146,A Coruña,TEO,2,0,0,1.55,1.55,14,2,-1,1,14.9,0,10.8,19.0,6-8 m/s,12.8,13.0,Q2,mayo,2001,NE,2.29999999999995
3.0,20010519,43.100946,-8.367323,A Coruña,ORDES,2,0,0,1.5,1.5,7,1,-1,1,15.7,0,11.8,19.6,6-8 m/s,14.2,13.3,Q2,mayo,2001,NE,1.80000000000007
4.0,20010519,43.091084,-8.298987,A Coruña,FRADES,2,0,0,3.35,3.35,1,2,-1,1,15.7,0,11.8,19.6,6-8 m/s,14.2,13.3,Q2,mayo,2001,NE,1.80000000000007
1.4,20010519,42.884114,-8.369176,A Coruña,TOURO,2,0,0,1.23,1.23,6,1,-1,1,15.7,0,11.8,19.6,6-8 m/s,14.2,13.3,Q2,mayo,2001,NE,1.80000000000007
1.0,20010520,43.117091,-8.905523,A Coruña,ZAS,2,0,0,1.4,1.4,11,0,-1,1,17.5,0,12.4,22.6,2-4 m/s,10.3,13.3,Q2,mayo,2001,E,4.10000000000002
2.0,20010522,43.083016,-8.450777,A Coruña,ORDES,2,0,0,2.05,2.05,6,2,-1,1,15.2,0,13.2,17.3,< 2 m/s,7.2,6.0,Q2,mayo,2001,NW,5.0
1.0,20010523,42.709977,-8.787082,A Coruña,RIANXO,2,0,0,1.35,1.35,14,2,-1,1,14.8,0,11.6,18.0,< 2 m/s,6.7,7.4,Q2,mayo,2001,W,3.69999999999993
1.5,20010523,43.0464,-8.693641,A Coruña,VAL DO DUBRA,2,0,0,3.5,3.5,7,2,-1,1,14.8,0,11.6,18.0,< 2 m/s,6.7,7.4,Q2,mayo,2001,W,3.69999999999993
3.0,20010523,43.0464,-8.693641,A Coruña,VAL DO DUBRA,2,0,0,2.5,2.5,12,3,-1,1,14.8,0,11.6,18.0,< 2 m/s,6.7,7.4,Q2,mayo,2001,W,3.69999999999993
1.0,20010523,43.374292,-8.192836,A Coruña,MIÃâO,1,0,0,1.5,1.5,9,1,-1,1,14.8,0,11.6,18.0,< 2 m/s,6.7,7.4,Q2,mayo,2001,W,3.69999999999993
1.0,20010524,43.124887,-8.833016,A Coruña,CORISTANCO,1,0,0,1.1,1.1,5,1,-1,1,15.2,0,13.0,17.4,< 2 m/s,6.4,5.5,Q2,mayo,2001,W,0.899999999999977
3.5,20010524,43.0464,-8.693641,A Coruña,VAL DO DUBRA,2,0,0,3.4,3.4,8,2,-1,1,15.2,0,13.0,17.4,< 2 m/s,6.4,5.5,Q2,mayo,2001,W,0.899999999999977
1.2,20010525,42.854833,-8.567981,A Coruña,SANTIAGO DE COMPOSTELA,2,0,0,1.55,1.55,5,1,-1,1,16.0,0,11.8,20.2,2-4 m/s,6.7,4.1,Q2,mayo,2001,W,1.19999999999993
2.0,20010526,43.058246,-9.157875,A Coruña,MUXÃÂA,2,0,0,3.15,3.15,21,1,-1,1,16.8,0,14.2,19.4,2-4 m/s,7.5,8.0,Q2,mayo,2001,NW,2.39999999999998
1.5,20010527,42.916698,-8.94043,A Coruña,MAZARICOS,2,0,0,1.35,1.35,11,2,-1,1,19.2,0,13.2,25.2,< 2 m/s,5.0,10.8,Q2,mayo,2001,W,0.899999999999977
1.5,20010527,43.057849,-8.094067,A Coruña,VILASANTAR,4,0,0,4.0,4.0,10,2,-1,1,19.2,0,13.2,25.2,< 2 m/s,5.0,10.8,Q2,mayo,2001,W,0.899999999999977
1.0,20010528,43.251187,-8.197358,A Coruña,OZA DOS RÃÂOS,2,0,0,2.35,2.35,8,1,-1,1,17.6,0,13.7,21.5,< 2 m/s,6.4,8.2,Q2,mayo,2001,W,2.79999999999995
1.4,20010528,42.826981,-8.687411,A Coruña,BRIÃâN,2,0,0,2.0,2.0,6,1,-1,1,17.6,0,13.7,21.5,< 2 m/s,6.4,8.2,Q2,mayo,2001,W,2.79999999999995
1.7,20010528,42.826981,-8.687411,A Coruña,BRIÃâN,2,0,0,1.4,1.4,11,3,-1,1,17.6,0,13.7,21.5,< 2 m/s,6.4,8.2,Q2,mayo,2001,W,2.79999999999995
1.5,20010529,42.826981,-8.687411,A Coruña,BRIÃâN,2,0,0,1.2,1.2,6,1,-1,1,17.0,1,13.8,20.2,< 2 m/s,7.8,4.1,Q2,mayo,2001,W,4.39999999999998
2.0,20010531,43.567613,-8.219855,A Coruña,NARÃâN,2,0,0,3.25,3.25,7,1,-1,1,17.5,0,15.5,19.5,6-8 m/s,14.2,3.3,Q2,mayo,2001,NE,2.0
1.0,20010601,42.955292,-8.071765,A Coruña,MELIDE,2,0,0,1.35,1.35,5,1,-1,1,17.8,0,14.3,21.4,6-8 m/s,15.0,12.9,Q2,junio,2001,NE,2.60000000000002
1.6,20010601,43.21314,-8.692291,A Coruña,CARBALLO,1,0,0,1.25,1.25,5,1,-1,1,17.8,0,14.3,21.4,6-8 m/s,15.0,12.9,Q2,junio,2001,NE,2.60000000000002
4.0,20010601,43.594099,-8.130649,A Coruña,VALDOVIÃâO,4,0,0,3.1,3.1,16,2,-1,1,17.8,0,14.3,21.4,6-8 m/s,15.0,12.9,Q2,junio,2001,NE,2.60000000000002
2.0,20010601,43.14477,-8.100581,A Coruña,CURTIS,2,0,0,3.35,3.35,10,2,-1,1,17.8,0,14.3,21.4,6-8 m/s,15.0,12.9,Q2,junio,2001,NE,2.60000000000002
1.0,20010602,43.163261,-8.242943,A Coruña,CESURAS,2,0,0,1.0,1.0,6,1,-1,1,17.1,0,14.2,20.0,2-4 m/s,15.0,13.2,Q2,junio,2001,SE,2.69999999999993
3.5,20010602,42.786588,-8.648783,A Coruña,PADRÃâN,2,0,0,3.0,3.0,6,1,-1,1,17.1,0,14.2,20.0,2-4 m/s,15.0,13.2,Q2,junio,2001,SE,2.69999999999993
2.6,20010603,42.845404,-8.623962,A Coruña,AMES,2,0,0,4.0,4.0,9,2,-1,1,16.3,0,13.4,19.2,< 2 m/s,6.4,7.1,Q2,junio,2001,W,4.59999999999991
1.0,20010603,43.612623,-8.099574,A Coruña,VALDOVIÃâO,2,0,0,1.35,1.35,5,2,-1,1,16.3,0,13.4,19.2,< 2 m/s,6.4,7.1,Q2,junio,2001,W,4.59999999999991
1.0,20010607,43.534708,-8.185687,A Coruña,NARÃâN,2,0,0,1.1,1.1,7,2,-1,1,15.2,1,12.0,18.4,< 2 m/s,6.4,11.1,Q2,junio,2001,N,6.39999999999998
3.0,20010612,43.291593,-8.495562,A Coruña,ARTEIXO,2,0,0,1.25,1.25,18,2,-1,1,17.4,0,15.0,19.8,2-4 m/s,12.5,7.6,Q2,junio,2001,W,2.40000000000009
1.5,20010614,42.997438,-8.682929,A Coruña,VAL DO DUBRA,2,0,0,1.35,1.35,15,2,-1,1,18.4,1,15.6,21.1,4-6 m/s,10.6,3.8,Q2,junio,2001,SW,1.79999999999995
3.0,20010619,42.572775,-8.990898,A Coruña,RIBEIRA,2,0,0,3.25,3.25,11,3,-1,1,21.0,0,14.3,27.6,< 2 m/s,5.3,13.1,Q2,junio,2001,E,4.5
1.5,20010619,43.068876,-8.926821,A Coruña,ZAS,2,0,0,1.25,1.25,5,2,-1,1,21.0,0,14.3,27.6,< 2 m/s,5.3,13.1,Q2,junio,2001,E,4.5
3.0,20010620,42.854833,-8.567981,A Coruña,SANTIAGO DE COMPOSTELA,2,0,0,3.25,3.25,15,2,-1,1,22.7,0,17.0,28.4,< 2 m/s,8.1,13.4,Q2,junio,2001,SW,2.10000000000002
2.5,20010620,42.903258,-8.81752,A Coruña,NEGREIRA,2,0,0,3.15,3.15,4,1,-1,1,22.7,0,17.0,28.4,< 2 m/s,8.1,13.4,Q2,junio,2001,SW,2.10000000000002
1.35,20010620,43.05101,-8.328803,A Coruña,FRADES,2,0,0,2.4,2.4,10,1,-1,1,22.7,0,17.0,28.4,< 2 m/s,8.1,13.4,Q2,junio,2001,SW,2.10000000000002
1.22,20010620,42.572775,-8.990898,A Coruña,RIBEIRA,2,0,0,1.45,1.45,8,3,-1,1,22.7,0,17.0,28.4,< 2 m/s,8.1,13.4,Q2,junio,2001,SW,2.10000000000002
2.5,20010621,43.159789,-7.980296,A Coruña,CURTIS,2,0,0,4.05,4.05,19,3,-1,1,16.9,0,14.8,19.0,2-4 m/s,7.5,10.0,Q2,junio,2001,W,1.79999999999995
2.0,20010621,42.550215,-9.015749,A Coruña,RIBEIRA,2,0,0,1.55,1.55,12,2,-1,1,16.9,0,14.8,19.0,2-4 m/s,7.5,10.0,Q2,junio,2001,W,1.79999999999995
1.1,20010621,43.567613,-8.219855,A Coruña,NARÃâN,2,0,0,1.45,1.45,9,2,-1,1,16.9,0,14.8,19.0,2-4 m/s,7.5,10.0,Q2,junio,2001,W,1.79999999999995
3.05,20010621,43.473549,-8.287918,A Coruña,FERROL,2,0,0,2.45,2.45,17,5,-1,1,16.9,0,14.8,19.0,2-4 m/s,7.5,10.0,Q2,junio,2001,W,1.79999999999995
1.0,20010622,43.057578,-8.547833,A Coruña,TORDOIA,2,0,0,0.45,0.45,5,1,-1,1,16.2,0,13.6,18.8,< 2 m/s,6.4,0.5,Q2,junio,2001,W,2.39999999999998
3.5,20010622,42.845404,-8.623962,A Coruña,AMES,2,0,0,1.2,1.2,17,3,-1,1,16.2,0,13.6,18.8,< 2 m/s,6.4,0.5,Q2,junio,2001,W,2.39999999999998
2.2,20010623,43.090275,-8.772107,A Coruña,SANTA COMBA,2,0,0,1.5,1.5,10,1,-1,1,17.8,0,15.8,19.8,2-4 m/s,13.1,10.3,Q2,junio,2001,N,1.80000000000007
1.0,20010623,42.860227,-8.804536,A Coruña,BRIÃâN,2,0,0,2.25,2.25,11,2,-1,1,17.8,0,15.8,19.8,2-4 m/s,13.1,10.3,Q2,junio,2001,N,1.80000000000007
1.3,20010624,43.096447,-8.175458,A Coruña,MESÃÂA,2,0,0,2.35,2.35,1,1,-1,1,18.2,0,15.0,21.5,< 2 m/s,7.5,13.2,Q2,junio,2001,NE,3.5
5.5,20010624,43.030576,-8.313216,A Coruña,FRADES,2,0,0,3.4,3.4,6,2,-1,1,18.2,0,15.0,21.5,< 2 m/s,7.5,13.2,Q2,junio,2001,NE,3.5
1.15,20010624,43.549187,-8.250286,A Coruña,FERROL,4,0,0,1.45,1.45,10,4,-1,1,18.2,0,15.0,21.5,< 2 m/s,7.5,13.2,Q2,junio,2001,NE,3.5
1.0,20010624,42.76328,-8.74306,A Coruña,ROIS,4,0,0,1.1,1.1,33,1,-1,1,18.2,0,15.0,21.5,< 2 m/s,7.5,13.2,Q2,junio,2001,NE,3.5
2.5,20010624,42.797346,-8.681299,A Coruña,ROIS,4,0,0,2.35,2.35,2,2,-1,1,18.2,0,15.0,21.5,< 2 m/s,7.5,13.2,Q2,junio,2001,NE,3.5
1.3,20010624,42.788592,-8.608497,A Coruña,TEO,2,0,0,2.5,2.5,11,0,-1,1,18.2,0,15.0,21.5,< 2 m/s,7.5,13.2,Q2,junio,2001,NE,3.5
2.0,20010624,42.765558,-8.647949,A Coruña,PADRÃâN,2,0,0,2.45,2.45,3,2,-1,1,18.2,0,15.0,21.5,< 2 m/s,7.5,13.2,Q2,junio,2001,NE,3.5
3.0,20010624,42.916127,-8.648048,A Coruña,AMES,2,0,0,3.4,3.4,11,4,-1,1,18.2,0,15.0,21.5,< 2 m/s,7.5,13.2,Q2,junio,2001,NE,3.5
1.2,20010625,42.955292,-8.071765,A Coruña,MELIDE,2,0,0,3.25,3.25,6,2,-1,1,17.8,0,15.0,20.6,< 2 m/s,9.2,8.5,Q2,junio,2001,SW,4.79999999999995
1.0,20010625,42.993181,-7.966212,A Coruña,TOQUES,2,0,0,1.45,1.45,6,2,-1,1,17.8,0,15.0,20.6,< 2 m/s,9.2,8.5,Q2,junio,2001,SW,4.79999999999995
2.5,20010628,43.123248,-9.058135,A Coruña,VIMIANZO,2,0,0,1.4,1.4,5,1,-1,1,19.6,0,14.8,24.4,< 2 m/s,6.4,13.5,Q2,junio,2001,N,1.29999999999995
1.0,20010629,42.822663,-8.958553,A Coruña,OUTES,2,0,0,2.4,2.4,5,2,-1,1,19.6,0,16.1,23.2,< 2 m/s,7.5,9.3,Q2,junio,2001,W,2.30000000000007
3.0,20010629,43.053519,-8.240377,A Coruña,FRADES,2,0,0,2.15,2.15,6,1,-1,1,19.6,0,16.1,23.2,< 2 m/s,7.5,9.3,Q2,junio,2001,W,2.30000000000007
1.0,20010629,42.671189,-8.786446,A Coruña,RIANXO,2,0,0,1.25,1.25,11,2,-1,1,19.6,0,16.1,23.2,< 2 m/s,7.5,9.3,Q2,junio,2001,W,2.30000000000007
4.2,20010630,43.473549,-8.287918,A Coruña,FERROL,2,0,0,3.05,3.05,14,4,-1,1,19.0,0,17.0,20.9,2-4 m/s,11.4,8.8,Q2,junio,2001,N,2.10000000000002
2.4,20010630,42.823895,-8.992317,A Coruña,MUROS,2,0,0,2.5,2.5,19,2,-1,1,19.0,0,17.0,20.9,2-4 m/s,11.4,8.8,Q2,junio,2001,N,2.10000000000002
1.4,20010630,43.294409,-8.428069,A Coruña,CULLEREDO,2,0,0,1.3,1.3,15,2,-1,1,19.0,0,17.0,20.9,2-4 m/s,11.4,8.8,Q2,junio,2001,N,2.10000000000002
1.3,20010630,42.572775,-8.990898,A Coruña,RIBEIRA,2,0,0,2.0,2.0,8,1,-1,1,19.0,0,17.0,20.9,2-4 m/s,11.4,8.8,Q2,junio,2001,N,2.10000000000002
2.0,20010701,42.845404,-8.623962,A Coruña,AMES,2,0,0,1.5,1.5,11,2,-1,1,22.6,0,16.4,28.8,< 2 m/s,7.2,13.0,Q3,julio,2001,E,5.59999999999991
3.0,20010701,43.590545,-8.201348,A Coruña,VALDOVIÃâO,2,0,0,1.3,1.3,18,4,-1,1,22.6,0,16.4,28.8,< 2 m/s,7.2,13.0,Q3,julio,2001,E,5.59999999999991
2.0,20010701,43.501867,-8.287932,A Coruña,FERROL,1,0,0,1.05,1.05,13,1,-1,1,22.6,0,16.4,28.8,< 2 m/s,7.2,13.0,Q3,julio,2001,E,5.59999999999991
2.2,20010701,43.473549,-8.287918,A Coruña,FERROL,2,0,0,1.3,1.3,12,2,-1,1,22.6,0,16.4,28.8,< 2 m/s,7.2,13.0,Q3,julio,2001,E,5.59999999999991
1.5,20010701,43.04568,-9.033727,A Coruña,VIMIANZO,2,0,0,1.3,1.3,5,3,-1,1,22.6,0,16.4,28.8,< 2 m/s,7.2,13.0,Q3,julio,2001,E,5.59999999999991
3.5,20010701,42.754604,-8.618866,A Coruña,PADRÃâN,2,0,0,2.0,2.0,21,3,-1,1,22.6,0,16.4,28.8,< 2 m/s,7.2,13.0,Q3,julio,2001,E,5.59999999999991
2.5,20010701,42.786588,-8.648783,A Coruña,PADRÃâN,2,0,0,1.25,1.25,10,1,-1,1,22.6,0,16.4,28.8,< 2 m/s,7.2,13.0,Q3,julio,2001,E,5.59999999999991
2.0,20010701,43.452291,-8.29106,A Coruña,ARES,2,0,0,1.35,1.35,16,4,-1,1,22.6,0,16.4,28.8,< 2 m/s,7.2,13.0,Q3,julio,2001,E,5.59999999999991
2.0,20010702,42.863526,-8.719067,A Coruña,BRIÃâN,2,0,0,3.55,3.55,10,2,-1,1,20.7,0,18.0,23.4,2-4 m/s,11.4,11.7,Q3,julio,2001,W,3.0
1.25,20010702,43.061992,-8.871319,A Coruña,SANTA COMBA,2,0,0,1.55,1.55,9,1,-1,1,20.7,0,18.0,23.4,2-4 m/s,11.4,11.7,Q3,julio,2001,W,3.0
2.0,20010702,42.626273,-9.034524,A Coruña,PORTO DO SON,2,0,0,1.2,1.2,7,1,-1,1,20.7,0,18.0,23.4,2-4 m/s,11.4,11.7,Q3,julio,2001,W,3.0
1.0,20010703,43.291593,-8.495562,A Coruña,ARTEIXO,4,0,0,2.35,2.35,21,3,-1,1,19.0,1,16.0,22.0,2-4 m/s,9.2,4.2,Q3,julio,2001,W,5.69999999999993
2.6,20010722,42.788592,-8.608497,A Coruña,TEO,2,0,0,1.45,1.45,16,1,-1,1,19.2,0,17.6,20.8,4-6 m/s,10.0,3.2,Q3,julio,2001,N,2.60000000000002
4.0,20010723,43.30714,-8.463079,A Coruña,ARTEIXO,4,0,0,3.3,3.3,21,3,-1,1,20.0,0,17.4,22.6,4-6 m/s,12.5,4.6,Q3,julio,2001,N,3.39999999999998
2.5,20010724,42.673902,-8.91086,A Coruña,BOIRO,2,0,0,1.1,1.1,6,2,-1,1,18.3,0,17.0,19.6,2-4 m/s,10.0,1.6,Q3,julio,2001,N,1.10000000000002
3.0,20010725,42.752862,-8.880832,A Coruña,LOUSAME,4,0,0,3.5,3.5,23,5,-1,1,19.6,1,17.0,22.2,2-4 m/s,7.5,5.0,Q3,julio,2001,SW,2.69999999999993
1.2,20010729,42.673902,-8.91086,A Coruña,BOIRO,2,0,0,2.05,2.05,23,1,-1,1,20.9,0,17.4,24.4,2-4 m/s,15.6,11.6,Q3,julio,2001,NE,1.80000000000007
1.2,20010729,43.074649,-9.055546,A Coruña,VIMIANZO,2,0,0,3.15,3.15,14,2,-1,1,20.9,0,17.4,24.4,2-4 m/s,15.6,11.6,Q3,julio,2001,NE,1.80000000000007
1.5,20010729,43.193217,-8.386887,A Coruña,CARRAL,2,0,0,1.05,1.05,21,3,-1,1,20.9,0,17.4,24.4,2-4 m/s,15.6,11.6,Q3,julio,2001,NE,1.80000000000007
1.5,20010729,42.786588,-8.648783,A Coruña,PADRÃâN,2,0,0,0.5,0.5,10,2,-1,1,20.9,0,17.4,24.4,2-4 m/s,15.6,11.6,Q3,julio,2001,NE,1.80000000000007
1.3,20010729,43.590545,-8.201348,A Coruña,VALDOVIÃâO,2,0,0,0.5,0.5,18,3,-1,1,20.9,0,17.4,24.4,2-4 m/s,15.6,11.6,Q3,julio,2001,NE,1.80000000000007
1.3,20010730,43.30714,-8.463079,A Coruña,ARTEIXO,2,0,0,2.0,2.0,13,3,-1,1,21.2,0,18.0,24.5,2-4 m/s,10.3,10.6,Q3,julio,2001,NE,1.39999999999998
1.0,20010730,43.513472,-8.237342,A Coruña,FERROL,2,0,0,2.2,2.2,25,4,-1,1,21.2,0,18.0,24.5,2-4 m/s,10.3,10.6,Q3,julio,2001,NE,1.39999999999998
1.57,20010731,42.642678,-9.007319,A Coruña,PORTO DO SON,2,0,0,2.5,2.5,31,2,-1,1,20.4,0,16.8,24.0,2-4 m/s,11.9,7.5,Q3,julio,2001,NE,6.69999999999993
1.0,20010731,43.567613,-8.219855,A Coruña,NARÃâN,2,0,0,3.35,3.35,6,2,-1,1,20.4,0,16.8,24.0,2-4 m/s,11.9,7.5,Q3,julio,2001,NE,6.69999999999993
2.7,20010731,43.562647,-8.176841,A Coruña,VALDOVIÃâO,2,0,0,2.55,2.55,11,1,-1,1,20.4,0,16.8,24.0,2-4 m/s,11.9,7.5,Q3,julio,2001,NE,6.69999999999993
3.0,20010801,43.229093,-8.256512,A Coruña,ABEGONDO,2,0,0,3.35,3.35,16,2,-1,1,21.2,1,19.0,23.4,< 2 m/s,12.2,10.7,Q3,agosto,2001,W,2.40000000000009
1.35,20010801,42.903258,-8.81752,A Coruña,NEGREIRA,2,0,0,2.2,2.2,11,1,-1,1,21.2,1,19.0,23.4,< 2 m/s,12.2,10.7,Q3,agosto,2001,W,2.40000000000009
